Id,state,km,6_days_esp_00h_06hs,6_days_esp_06_12hs,6_days_esp_12_18,6_days_esp_18_24hs,6_days_total
4,SP,229,1,0,0,0,1
5,SP,228,1,0,0,2,3
10,SP,223,1,4,3,12,20
44,SP,189,0,1,1,0,2
45,SP,188,0,0,4,13,17
55,SP,178,0,0,1,0,1
56,SP,177,0,0,0,1,1
57,SP,176,0,1,1,12,14
76,SP,157,0,0,2,10,12
82,SP,151,0,0,2,4,6
106,SP,127,0,1,1,6,8
126,SP,107,0,0,7,8,15
185,SP,48,0,2,3,1,6
221,SP,12,0,1,0,0,1
222,SP,11,0,4,2,7,13
234,RJ,333,0,0,3,1,4
300,RJ,267,0,0,1,2,3
301,RJ,266,0,0,1,1,2
323,RJ,244,1,0,4,0,5
324,RJ,243,0,0,1,1,2
369,RJ,198,0,0,0,1,1
370,RJ,197,0,1,2,0,3
371,RJ,196,0,0,2,0,2
373,RJ,194,0,0,1,1,2
384,RJ,183,1,1,2,5,9
393,RJ,174,3,0,5,5,13
394,RJ,173,0,0,2,1,3
395,RJ,172,0,0,1,0,1
401,RJ,166,1,0,0,2,3
402,RJ,165,0,0,0,1,1
