Id,state,km,3_days_esp_00h_06hs,3_days_esp_06_12hs,3_days_esp_12_18,3_days_esp_18_24hs,3_days_total
4,SP,229,0,0,1,0,1
5,SP,228,3,0,2,1,6
6,SP,227,0,0,1,0,1
7,SP,226,0,0,1,0,1
9,SP,224,1,0,3,0,4
10,SP,223,6,8,17,17,48
11,SP,222,0,0,1,0,1
45,SP,188,3,3,8,5,19
56,SP,177,0,0,0,1,1
57,SP,176,0,0,1,3,4
62,SP,171,0,0,1,0,1
75,SP,158,0,1,0,1,2
76,SP,157,1,1,7,4,13
82,SP,151,2,0,0,5,7
125,SP,108,1,0,1,0,2
126,SP,107,2,6,23,9,40
127,SP,106,0,1,0,0,1
148,SP,85,1,0,0,0,1
185,SP,48,2,1,6,0,9
222,SP,11,2,2,11,6,21
234,RJ,333,0,0,2,4,6
300,RJ,267,0,1,2,1,4
301,RJ,266,1,0,1,1,3
320,RJ,247,0,0,1,0,1
322,RJ,245,0,0,1,1,2
323,RJ,244,1,2,36,2,41
324,RJ,243,1,0,1,2,4
326,RJ,241,1,0,0,0,1
369,RJ,198,0,0,2,1,3
370,RJ,197,0,3,1,0,4
371,RJ,196,0,0,1,1,2
373,RJ,194,0,0,1,1,2
384,RJ,183,0,1,3,5,9
389,RJ,178,0,1,1,0,2
392,RJ,175,1,0,0,0,1
393,RJ,174,4,3,9,8,24
394,RJ,173,0,0,2,4,6
400,RJ,167,0,2,0,1,3
401,RJ,166,0,0,0,2,2
402,RJ,165,0,0,2,1,3
