Id,state,km,4_days_nro_smartphones
1,SP,232,8
2,SP,231,5
3,SP,230,8
4,SP,229,119
6,SP,227,5
7,SP,226,9
8,SP,225,7
9,SP,224,3
10,SP,223,6
11,SP,222,9
12,SP,221,8
13,SP,220,6
15,SP,218,4
17,SP,216,6
18,SP,215,2
19,SP,214,7
20,SP,213,3
21,SP,212,4
23,SP,210,6
26,SP,207,3
27,SP,206,1
29,SP,204,3
31,SP,202,1
34,SP,199,1
35,SP,198,1
38,SP,195,1
39,SP,194,2
40,SP,193,1
42,SP,191,3
44,SP,189,3
45,SP,188,1
46,SP,187,2
51,SP,182,3
52,SP,181,1
54,SP,179,3
56,SP,177,4
64,SP,169,3
68,SP,165,8
69,SP,164,2
71,SP,162,2
73,SP,160,1
74,SP,159,3
75,SP,158,1
76,SP,157,4
78,SP,155,1
79,SP,154,1
80,SP,153,4
81,SP,152,1
83,SP,150,1
85,SP,148,3
86,SP,147,2
87,SP,146,1
89,SP,144,1
90,SP,143,1
94,SP,139,4
96,SP,137,1
97,SP,136,5
98,SP,135,4
99,SP,134,1
100,SP,133,1
101,SP,132,9
102,SP,131,4
103,SP,130,1
104,SP,129,2
105,SP,128,1
107,SP,126,3
108,SP,125,1
109,SP,124,1
110,SP,123,3
111,SP,122,1
112,SP,121,1
113,SP,120,94
115,SP,118,1
116,SP,117,2
117,SP,116,1
119,SP,114,3
121,SP,112,5
124,SP,109,1
125,SP,108,1
126,SP,107,3
127,SP,106,1
128,SP,105,6
130,SP,103,2
131,SP,102,2
137,SP,96,2
138,SP,95,1
139,SP,94,1
140,SP,93,2
141,SP,92,1
143,SP,90,2
144,SP,89,10
146,SP,87,1
149,SP,84,2
150,SP,83,1
151,SP,82,2
154,SP,79,1
155,SP,78,1
163,SP,70,1
165,SP,68,1
166,SP,67,2
168,SP,65,1
169,SP,64,1
173,SP,60,1
176,SP,57,1
177,SP,56,1
186,SP,47,1
187,SP,46,1
188,SP,45,1
189,SP,44,1
191,SP,42,2
193,SP,40,91
194,SP,39,3
195,SP,38,2
196,SP,37,2
199,SP,34,1
201,SP,32,1
202,SP,31,1
203,SP,30,1
206,SP,27,1
208,SP,25,1
209,SP,24,1
210,SP,23,1
214,SP,19,3
216,SP,17,1
217,SP,16,1
219,SP,14,2
222,SP,11,1
223,SP,10,2
224,SP,9,1
226,SP,7,2
227,SP,6,13
229,SP,4,2
232,SP,1,1
233,SP,0,2
237,RJ,330,1
238,RJ,329,1
242,RJ,325,3
243,RJ,324,1
244,RJ,323,1
247,RJ,320,1
248,RJ,319,2
249,RJ,318,1
250,RJ,317,2
251,RJ,316,2
252,RJ,315,1
253,RJ,314,1
254,RJ,313,3
255,RJ,312,1
256,RJ,311,1
257,RJ,310,1
258,RJ,309,1
259,RJ,308,1
262,RJ,305,1
265,RJ,302,8
266,RJ,301,2
267,RJ,300,1
268,RJ,299,1
269,RJ,298,2
270,RJ,297,93
272,RJ,295,1
276,RJ,291,2
278,RJ,289,1
279,RJ,288,2
281,RJ,286,1
285,RJ,282,3
286,RJ,281,5
287,RJ,280,4
288,RJ,279,2
290,RJ,277,1
291,RJ,276,2
292,RJ,275,1
293,RJ,274,3
294,RJ,273,3
295,RJ,272,1
298,RJ,269,2
301,RJ,266,1
303,RJ,264,1
304,RJ,263,1
308,RJ,259,2
309,RJ,258,3
312,RJ,255,6
314,RJ,253,1
318,RJ,249,2
320,RJ,247,2
322,RJ,245,1
324,RJ,243,1
325,RJ,242,2
326,RJ,241,1
328,RJ,239,1
329,RJ,238,1
330,RJ,237,1
332,RJ,235,1
333,RJ,234,3
334,RJ,233,2
339,RJ,228,5
348,RJ,219,2
350,RJ,217,2
356,RJ,211,3
359,RJ,208,4
367,RJ,200,1
370,RJ,197,3
371,RJ,196,2
375,RJ,192,5
377,RJ,190,1
381,RJ,186,1
382,RJ,185,2
384,RJ,183,1
389,RJ,178,4
392,RJ,175,7
394,RJ,173,9
396,RJ,171,4
397,RJ,170,3
399,RJ,168,10
400,RJ,167,13
401,RJ,166,3
