Id,state,km,7_days_esp_00h_06hs,7_days_esp_06_12hs,7_days_esp_12_18,7_days_esp_18_24hs,7_days_total
4,SP,229,0,1,1,0,2
5,SP,228,0,2,1,1,4
9,SP,224,0,0,0,1,1
10,SP,223,7,1,7,6,21
11,SP,222,0,0,0,1,1
22,SP,211,1,0,0,0,1
44,SP,189,0,1,0,1,2
45,SP,188,4,0,1,3,8
56,SP,177,0,1,0,0,1
57,SP,176,1,0,0,1,2
75,SP,158,0,0,0,1,1
76,SP,157,2,2,2,0,6
82,SP,151,1,1,0,4,6
106,SP,127,0,0,3,0,3
125,SP,108,0,0,1,0,1
126,SP,107,1,1,7,1,10
185,SP,48,1,1,1,0,3
222,SP,11,1,2,5,3,11
233,SP,0,0,0,1,0,1
234,RJ,333,0,0,1,1,2
300,RJ,267,0,1,1,2,4
323,RJ,244,2,1,4,1,8
369,RJ,198,1,0,1,1,3
370,RJ,197,0,1,0,1,2
384,RJ,183,2,1,4,2,9
393,RJ,174,7,7,6,4,24
394,RJ,173,2,0,1,0,3
400,RJ,167,0,1,1,1,3
401,RJ,166,0,1,0,0,1
