Id,state,km,5_days_esp_00h_06hs,5_days_esp_06_12hs,5_days_esp_12_18,5_days_esp_18_24hs,5_days_total
4,SP,229,0,0,0,1,1
5,SP,228,0,1,2,1,4
9,SP,224,0,0,1,0,1
10,SP,223,9,14,11,21,55
23,SP,210,2,0,0,0,2
44,SP,189,0,1,2,2,5
45,SP,188,1,3,10,9,23
51,SP,182,0,1,0,0,1
57,SP,176,6,1,11,12,30
76,SP,157,0,3,5,5,13
78,SP,155,0,0,0,2,2
82,SP,151,5,0,2,4,11
126,SP,107,7,1,7,12,27
148,SP,85,0,0,0,1,1
185,SP,48,1,3,7,2,13
222,SP,11,2,1,9,6,18
234,RJ,333,1,1,6,0,8
288,RJ,279,0,0,0,1,1
300,RJ,267,0,1,2,2,5
301,RJ,266,1,1,4,0,6
322,RJ,245,0,1,0,0,1
323,RJ,244,1,2,12,6,21
324,RJ,243,0,0,4,0,4
326,RJ,241,0,0,0,1,1
369,RJ,198,0,1,3,2,6
370,RJ,197,0,1,1,2,4
371,RJ,196,0,0,2,0,2
373,RJ,194,1,1,1,0,3
384,RJ,183,1,4,9,4,18
389,RJ,178,0,1,2,0,3
393,RJ,174,0,8,10,11,29
394,RJ,173,0,2,1,1,4
400,RJ,167,0,1,1,0,2
