Id,state,km,2_days_nro_smartphones
1,SP,232,5
2,SP,231,13
3,SP,230,5
4,SP,229,102
5,SP,228,3
6,SP,227,6
7,SP,226,4
8,SP,225,2
9,SP,224,3
13,SP,220,2
14,SP,219,2
15,SP,218,1
16,SP,217,3
17,SP,216,5
18,SP,215,2
19,SP,214,2
20,SP,213,1
21,SP,212,1
33,SP,200,3
38,SP,195,2
39,SP,194,1
40,SP,193,5
41,SP,192,3
45,SP,188,2
46,SP,187,3
48,SP,185,1
52,SP,181,1
54,SP,179,2
60,SP,173,5
61,SP,172,3
67,SP,166,4
69,SP,164,6
71,SP,162,2
72,SP,161,2
73,SP,160,2
74,SP,159,2
76,SP,157,3
77,SP,156,1
79,SP,154,4
81,SP,152,4
82,SP,151,1
83,SP,150,5
85,SP,148,1
86,SP,147,2
87,SP,146,2
88,SP,145,2
90,SP,143,4
92,SP,141,3
94,SP,139,1
95,SP,138,3
96,SP,137,3
97,SP,136,4
98,SP,135,5
99,SP,134,3
101,SP,132,5
102,SP,131,3
103,SP,130,6
104,SP,129,2
105,SP,128,2
106,SP,127,2
113,SP,120,96
114,SP,119,3
115,SP,118,2
118,SP,115,1
119,SP,114,4
124,SP,109,1
125,SP,108,1
126,SP,107,1
127,SP,106,1
128,SP,105,1
129,SP,104,1
131,SP,102,2
133,SP,100,1
136,SP,97,2
138,SP,95,3
140,SP,93,2
141,SP,92,1
142,SP,91,1
143,SP,90,3
144,SP,89,6
145,SP,88,2
149,SP,84,1
152,SP,81,3
154,SP,79,1
155,SP,78,1
159,SP,74,1
160,SP,73,2
165,SP,68,2
167,SP,66,1
173,SP,60,2
175,SP,58,1
176,SP,57,2
177,SP,56,2
181,SP,52,2
184,SP,49,1
186,SP,47,1
188,SP,45,1
191,SP,42,2
193,SP,40,100
194,SP,39,1
195,SP,38,2
198,SP,35,1
199,SP,34,2
204,SP,29,1
205,SP,28,1
206,SP,27,1
207,SP,26,2
208,SP,25,1
214,SP,19,1
215,SP,18,3
216,SP,17,2
219,SP,14,1
220,SP,13,4
221,SP,12,1
225,SP,8,1
226,SP,7,2
227,SP,6,2
228,SP,5,1
229,SP,4,2
234,RJ,333,1
236,RJ,331,2
237,RJ,330,1
238,RJ,329,2
239,RJ,328,1
241,RJ,326,1
242,RJ,325,1
243,RJ,324,1
246,RJ,321,1
250,RJ,317,1
252,RJ,315,1
256,RJ,311,4
259,RJ,308,1
261,RJ,306,3
262,RJ,305,1
264,RJ,303,1
265,RJ,302,8
266,RJ,301,1
267,RJ,300,1
268,RJ,299,1
270,RJ,297,96
273,RJ,294,1
274,RJ,293,1
275,RJ,292,1
276,RJ,291,1
278,RJ,289,1
281,RJ,286,1
283,RJ,284,1
284,RJ,283,2
286,RJ,281,2
289,RJ,278,1
291,RJ,276,3
292,RJ,275,1
293,RJ,274,1
296,RJ,271,1
297,RJ,270,13
301,RJ,266,1
302,RJ,265,2
303,RJ,264,1
304,RJ,263,1
306,RJ,261,2
307,RJ,260,3
308,RJ,259,1
312,RJ,255,2
315,RJ,252,1
316,RJ,251,2
317,RJ,250,2
319,RJ,248,2
320,RJ,247,1
322,RJ,245,1
323,RJ,244,2
326,RJ,241,5
328,RJ,239,1
329,RJ,238,1
332,RJ,235,1
333,RJ,234,1
334,RJ,233,1
344,RJ,223,4
345,RJ,222,11
346,RJ,221,4
356,RJ,211,2
357,RJ,210,3
360,RJ,207,5
361,RJ,206,2
362,RJ,205,1
363,RJ,204,3
366,RJ,201,2
368,RJ,199,7
369,RJ,198,1
370,RJ,197,6
371,RJ,196,2
377,RJ,190,1
378,RJ,189,4
381,RJ,186,1
383,RJ,184,5
384,RJ,183,3
385,RJ,182,17
387,RJ,180,1
389,RJ,178,5
391,RJ,176,1
392,RJ,175,1
393,RJ,174,1
396,RJ,171,6
397,RJ,170,4
398,RJ,169,5
399,RJ,168,3
400,RJ,167,7
