Id,state,km,4_days_esp_00h_06hs,4_days_esp_06_12hs,4_days_esp_12_18,4_days_esp_18_24hs,4_days_total
1,SP,232,0,0,1,0,1
4,SP,229,1,0,0,1,2
5,SP,228,0,0,3,1,4
7,SP,226,0,0,0,1,1
10,SP,223,16,16,7,16,55
11,SP,222,0,1,0,0,1
22,SP,211,1,0,1,0,2
44,SP,189,1,0,1,1,3
45,SP,188,0,2,4,5,11
57,SP,176,1,2,0,0,3
63,SP,170,0,0,1,0,1
74,SP,159,0,0,0,1,1
75,SP,158,0,0,1,0,1
76,SP,157,3,0,1,5,9
82,SP,151,0,1,4,3,8
126,SP,107,2,4,6,9,21
127,SP,106,0,1,0,0,1
148,SP,85,0,1,0,0,1
185,SP,48,0,5,6,2,13
222,SP,11,0,3,11,4,18
223,SP,10,0,1,0,0,1
234,RJ,333,0,0,2,0,2
280,RJ,287,0,0,0,1,1
300,RJ,267,0,0,3,3,6
301,RJ,266,0,0,2,0,2
322,RJ,245,0,0,2,0,2
323,RJ,244,0,3,7,5,15
325,RJ,242,0,0,1,1,2
326,RJ,241,0,0,1,0,1
366,RJ,201,0,0,1,0,1
369,RJ,198,0,0,2,5,7
370,RJ,197,2,0,2,0,4
371,RJ,196,0,0,1,1,2
373,RJ,194,0,0,0,2,2
384,RJ,183,2,2,9,9,22
393,RJ,174,2,5,13,13,33
394,RJ,173,1,0,0,0,1
400,RJ,167,0,0,3,1,4
401,RJ,166,1,0,1,0,2
402,RJ,165,0,0,1,0,1
