Id,state,km,2_days_esp_00h_06hs,2_days_esp_06_12hs,2_days_esp_12_18,2_days_esp_18_24hs,2_days_total
4,SP,229,1,0,0,1,2
5,SP,228,1,0,2,1,4
6,SP,227,0,0,0,1,1
10,SP,223,7,3,16,21,47
23,SP,210,0,0,1,0,1
45,SP,188,3,1,13,12,29
56,SP,177,0,2,0,0,2
57,SP,176,2,2,6,0,10
58,SP,175,0,1,0,0,1
63,SP,170,0,1,0,0,1
75,SP,158,0,0,1,1,2
76,SP,157,3,1,4,6,14
82,SP,151,2,0,6,4,12
83,SP,150,0,2,0,0,2
126,SP,107,4,5,12,5,26
127,SP,106,0,1,1,0,2
148,SP,85,1,0,0,0,1
157,SP,76,0,0,0,1,1
185,SP,48,2,1,7,1,11
222,SP,11,3,2,4,5,14
234,RJ,333,0,1,3,2,6
297,RJ,270,0,0,0,3,3
300,RJ,267,0,1,1,3,5
301,RJ,266,0,2,1,1,4
323,RJ,244,1,2,6,5,14
324,RJ,243,0,1,2,1,4
326,RJ,241,0,0,0,1,1
369,RJ,198,0,0,1,3,4
370,RJ,197,1,2,0,0,3
373,RJ,194,0,2,2,0,4
382,RJ,185,0,1,0,0,1
384,RJ,183,1,6,5,4,16
393,RJ,174,1,3,8,7,19
394,RJ,173,0,0,0,1,1
398,RJ,169,0,0,1,0,1
400,RJ,167,0,0,2,0,2
401,RJ,166,0,0,0,2,2
