Id,state,km,7_days_nro_smartphones
1,SP,232,1
2,SP,231,6
3,SP,230,2
4,SP,229,96
5,SP,228,5
6,SP,227,1
7,SP,226,4
9,SP,224,6
10,SP,223,1
11,SP,222,3
12,SP,221,3
13,SP,220,38
15,SP,218,11
19,SP,214,1
20,SP,213,3
21,SP,212,1
22,SP,211,2
24,SP,209,1
25,SP,208,1
30,SP,203,3
34,SP,199,2
35,SP,198,3
38,SP,195,1
40,SP,193,1
44,SP,189,2
45,SP,188,1
46,SP,187,2
47,SP,186,1
51,SP,182,2
52,SP,181,3
54,SP,179,1
56,SP,177,2
61,SP,172,1
64,SP,169,5
68,SP,165,3
69,SP,164,5
72,SP,161,1
76,SP,157,2
77,SP,156,1
78,SP,155,1
79,SP,154,3
80,SP,153,1
82,SP,151,1
83,SP,150,2
84,SP,149,2
85,SP,148,2
87,SP,146,3
88,SP,145,2
90,SP,143,1
92,SP,141,3
94,SP,139,1
95,SP,138,1
97,SP,136,1
99,SP,134,3
100,SP,133,1
101,SP,132,1
102,SP,131,1
104,SP,129,1
106,SP,127,1
110,SP,123,2
113,SP,120,97
114,SP,119,1
116,SP,117,1
117,SP,116,1
118,SP,115,3
119,SP,114,1
122,SP,111,1
127,SP,106,1
129,SP,104,1
133,SP,100,2
134,SP,99,1
136,SP,97,2
137,SP,96,1
140,SP,93,2
142,SP,91,1
143,SP,90,1
144,SP,89,3
147,SP,86,2
148,SP,85,1
156,SP,77,3
157,SP,76,1
163,SP,70,1
164,SP,69,1
167,SP,66,1
172,SP,61,1
174,SP,59,1
183,SP,50,1
188,SP,45,1
189,SP,44,1
190,SP,43,1
193,SP,40,93
194,SP,39,2
196,SP,37,1
197,SP,36,1
198,SP,35,1
200,SP,33,1
205,SP,28,1
207,SP,26,2
209,SP,24,1
212,SP,21,1
213,SP,20,1
214,SP,19,3
218,SP,15,1
219,SP,14,1
221,SP,12,1
223,SP,10,1
226,SP,7,2
227,SP,6,2
228,SP,5,1
229,SP,4,1
235,RJ,332,2
236,RJ,331,1
237,RJ,330,1
238,RJ,329,1
239,RJ,328,1
241,RJ,326,1
246,RJ,321,1
249,RJ,318,1
254,RJ,313,1
255,RJ,312,1
257,RJ,310,3
259,RJ,308,1
260,RJ,307,1
262,RJ,305,1
263,RJ,304,2
264,RJ,303,1
265,RJ,302,2
270,RJ,297,94
274,RJ,293,2
275,RJ,292,3
278,RJ,289,1
279,RJ,288,3
284,RJ,283,1
286,RJ,281,1
287,RJ,280,1
291,RJ,276,1
295,RJ,272,1
296,RJ,271,1
297,RJ,270,1
302,RJ,265,1
303,RJ,264,2
304,RJ,263,1
307,RJ,260,1
309,RJ,258,1
310,RJ,257,1
315,RJ,252,1
316,RJ,251,1
318,RJ,249,2
319,RJ,248,1
323,RJ,244,1
326,RJ,241,3
327,RJ,240,1
328,RJ,239,2
329,RJ,238,1
331,RJ,236,4
332,RJ,235,2
342,RJ,225,4
348,RJ,219,4
350,RJ,217,3
351,RJ,216,5
352,RJ,215,2
357,RJ,210,3
361,RJ,206,4
362,RJ,205,1
370,RJ,197,1
371,RJ,196,2
373,RJ,194,3
375,RJ,192,3
376,RJ,191,4
382,RJ,185,1
384,RJ,183,1
387,RJ,180,1
389,RJ,178,4
391,RJ,176,1
392,RJ,175,3
393,RJ,174,2
394,RJ,173,1
396,RJ,171,1
397,RJ,170,1
399,RJ,168,3
400,RJ,167,8
401,RJ,166,3
