Id,state,km,6_days_nro_smartphones
1,SP,232,3
2,SP,231,1
3,SP,230,2
4,SP,229,97
5,SP,228,3
6,SP,227,5
7,SP,226,3
9,SP,224,3
12,SP,221,4
13,SP,220,1
14,SP,219,1
15,SP,218,2
18,SP,215,3
19,SP,214,2
20,SP,213,1
21,SP,212,1
22,SP,211,2
23,SP,210,1
24,SP,209,1
28,SP,205,1
29,SP,204,1
35,SP,198,4
38,SP,195,4
41,SP,192,1
43,SP,190,1
50,SP,183,1
51,SP,182,1
53,SP,180,1
55,SP,178,1
56,SP,177,1
58,SP,175,3
59,SP,174,2
60,SP,173,2
64,SP,169,2
66,SP,167,7
71,SP,162,1
73,SP,160,3
75,SP,158,3
76,SP,157,2
79,SP,154,1
81,SP,152,5
83,SP,150,1
84,SP,149,1
85,SP,148,2
87,SP,146,1
94,SP,139,1
95,SP,138,1
97,SP,136,1
98,SP,135,1
99,SP,134,1
101,SP,132,1
103,SP,130,4
106,SP,127,2
108,SP,125,2
111,SP,122,1
112,SP,121,1
113,SP,120,94
114,SP,119,1
115,SP,118,1
116,SP,117,3
118,SP,115,3
119,SP,114,9
121,SP,112,1
122,SP,111,1
123,SP,110,1
124,SP,109,1
127,SP,106,3
128,SP,105,2
129,SP,104,1
131,SP,102,2
132,SP,101,2
133,SP,100,1
135,SP,98,1
136,SP,97,1
137,SP,96,2
138,SP,95,1
140,SP,93,2
141,SP,92,2
144,SP,89,8
148,SP,85,2
151,SP,82,1
152,SP,81,1
154,SP,79,1
156,SP,77,3
157,SP,76,1
161,SP,72,1
165,SP,68,1
177,SP,56,1
178,SP,55,1
179,SP,54,2
187,SP,46,2
188,SP,45,2
190,SP,43,1
192,SP,41,2
193,SP,40,92
197,SP,36,1
198,SP,35,1
199,SP,34,1
201,SP,32,2
205,SP,28,2
207,SP,26,1
209,SP,24,2
213,SP,20,1
214,SP,19,3
217,SP,16,3
218,SP,15,2
220,SP,13,1
221,SP,12,1
222,SP,11,1
223,SP,10,1
225,SP,8,2
227,SP,6,2
228,SP,5,1
229,SP,4,1
233,SP,0,1
236,RJ,331,1
241,RJ,326,1
249,RJ,318,1
251,RJ,316,2
252,RJ,315,2
253,RJ,314,1
254,RJ,313,1
255,RJ,312,1
257,RJ,310,2
263,RJ,304,1
264,RJ,303,1
268,RJ,299,2
270,RJ,297,93
271,RJ,296,3
272,RJ,295,3
273,RJ,294,3
274,RJ,293,1
277,RJ,290,1
278,RJ,289,1
281,RJ,286,3
288,RJ,279,2
293,RJ,274,1
299,RJ,268,1
306,RJ,261,1
309,RJ,258,2
310,RJ,257,4
312,RJ,255,2
314,RJ,253,2
316,RJ,251,1
320,RJ,247,1
321,RJ,246,1
323,RJ,244,1
324,RJ,243,1
327,RJ,240,1
328,RJ,239,1
329,RJ,238,1
330,RJ,237,1
333,RJ,234,1
342,RJ,225,5
359,RJ,208,1
360,RJ,207,3
366,RJ,201,2
367,RJ,200,4
368,RJ,199,5
378,RJ,189,1
379,RJ,188,3
380,RJ,187,1
383,RJ,184,2
391,RJ,176,1
395,RJ,172,4
396,RJ,171,2
397,RJ,170,6
399,RJ,168,2
402,RJ,165,2
403,RJ,164,2
