Id,state,km,3_days_nro_smartphones
1,SP,232,8
2,SP,231,4
3,SP,230,7
4,SP,229,96
5,SP,228,12
6,SP,227,10
7,SP,226,2
8,SP,225,8
9,SP,224,7
10,SP,223,6
11,SP,222,4
12,SP,221,1
13,SP,220,1
14,SP,219,5
15,SP,218,2
16,SP,217,3
17,SP,216,2
18,SP,215,1
19,SP,214,4
20,SP,213,5
21,SP,212,4
22,SP,211,4
24,SP,209,2
25,SP,208,6
26,SP,207,2
27,SP,206,2
29,SP,204,1
33,SP,200,2
34,SP,199,2
35,SP,198,1
37,SP,196,1
38,SP,195,2
39,SP,194,2
44,SP,189,2
45,SP,188,2
47,SP,186,6
49,SP,184,1
50,SP,183,1
55,SP,178,6
62,SP,171,5
65,SP,168,3
66,SP,167,3
69,SP,164,7
70,SP,163,1
71,SP,162,3
72,SP,161,2
73,SP,160,1
74,SP,159,4
75,SP,158,1
76,SP,157,2
77,SP,156,2
78,SP,155,2
80,SP,153,2
81,SP,152,1
82,SP,151,2
83,SP,150,2
84,SP,149,1
85,SP,148,3
86,SP,147,3
87,SP,146,2
88,SP,145,1
89,SP,144,2
90,SP,143,3
91,SP,142,3
92,SP,141,1
93,SP,140,1
94,SP,139,1
96,SP,137,2
97,SP,136,3
98,SP,135,2
99,SP,134,5
100,SP,133,1
101,SP,132,3
102,SP,131,3
103,SP,130,2
104,SP,129,1
105,SP,128,4
106,SP,127,1
107,SP,126,1
108,SP,125,1
109,SP,124,1
110,SP,123,1
112,SP,121,1
113,SP,120,97
114,SP,119,3
117,SP,116,2
119,SP,114,3
123,SP,110,1
124,SP,109,1
128,SP,105,1
129,SP,104,1
130,SP,103,1
135,SP,98,1
138,SP,95,2
139,SP,94,3
140,SP,93,2
141,SP,92,3
142,SP,91,2
143,SP,90,1
144,SP,89,10
145,SP,88,1
146,SP,87,1
149,SP,84,1
150,SP,83,1
151,SP,82,1
152,SP,81,1
156,SP,77,1
157,SP,76,2
160,SP,73,3
162,SP,71,1
163,SP,70,1
167,SP,66,2
168,SP,65,1
169,SP,64,3
171,SP,62,1
174,SP,59,1
175,SP,58,1
178,SP,55,1
179,SP,54,1
180,SP,53,1
181,SP,52,2
182,SP,51,1
186,SP,47,2
188,SP,45,2
189,SP,44,1
190,SP,43,1
192,SP,41,2
193,SP,40,97
195,SP,38,1
196,SP,37,1
199,SP,34,1
200,SP,33,3
203,SP,30,3
204,SP,29,3
205,SP,28,1
206,SP,27,1
208,SP,25,2
209,SP,24,1
210,SP,23,1
211,SP,22,2
212,SP,21,1
214,SP,19,1
215,SP,18,1
220,SP,13,1
223,SP,10,1
224,SP,9,1
225,SP,8,2
226,SP,7,1
227,SP,6,3
230,SP,3,1
233,SP,0,2
234,RJ,333,1
235,RJ,332,1
236,RJ,331,1
237,RJ,330,1
238,RJ,329,2
239,RJ,328,1
240,RJ,327,1
243,RJ,324,1
244,RJ,323,2
245,RJ,322,3
246,RJ,321,2
247,RJ,320,2
249,RJ,318,2
252,RJ,315,2
253,RJ,314,1
255,RJ,312,1
257,RJ,310,2
258,RJ,309,2
259,RJ,308,2
261,RJ,306,6
262,RJ,305,1
265,RJ,302,1
267,RJ,300,1
268,RJ,299,5
270,RJ,297,93
271,RJ,296,2
272,RJ,295,1
274,RJ,293,1
276,RJ,291,1
279,RJ,288,1
281,RJ,286,1
286,RJ,281,2
289,RJ,278,1
290,RJ,277,1
291,RJ,276,2
293,RJ,274,1
294,RJ,273,3
295,RJ,272,1
296,RJ,271,1
298,RJ,269,2
299,RJ,268,1
300,RJ,267,1
301,RJ,266,1
304,RJ,263,1
306,RJ,261,1
307,RJ,260,3
308,RJ,259,1
310,RJ,257,1
311,RJ,256,1
312,RJ,255,2
313,RJ,254,1
314,RJ,253,1
316,RJ,251,1
317,RJ,250,1
320,RJ,247,1
321,RJ,246,4
323,RJ,244,4
325,RJ,242,2
326,RJ,241,6
328,RJ,239,2
329,RJ,238,2
332,RJ,235,1
333,RJ,234,1
334,RJ,233,1
357,RJ,210,2
364,RJ,203,1
365,RJ,202,3
370,RJ,197,2
375,RJ,192,1
376,RJ,191,2
380,RJ,187,2
382,RJ,185,2
385,RJ,182,5
386,RJ,181,3
387,RJ,180,3
390,RJ,177,1
391,RJ,176,6
392,RJ,175,9
393,RJ,174,2
394,RJ,173,2
395,RJ,172,3
397,RJ,170,3
401,RJ,166,4
402,RJ,165,24
