Id,state,km,day_nro_smartphones
1,SP,232,2
2,SP,231,3
3,SP,230,3
4,SP,229,93
5,SP,228,3
6,SP,227,1
7,SP,226,1
8,SP,225,3
9,SP,224,2
11,SP,222,8
13,SP,220,3
17,SP,216,2
18,SP,215,2
21,SP,212,2
23,SP,210,1
26,SP,207,8
28,SP,205,1
29,SP,204,2
32,SP,201,1
37,SP,196,1
38,SP,195,2
39,SP,194,2
45,SP,188,2
46,SP,187,1
49,SP,184,1
50,SP,183,1
53,SP,180,1
59,SP,174,1
64,SP,169,4
69,SP,164,1
71,SP,162,1
72,SP,161,1
74,SP,159,1
75,SP,158,3
76,SP,157,2
79,SP,154,1
82,SP,151,1
94,SP,139,1
97,SP,136,1
99,SP,134,2
104,SP,129,2
105,SP,128,1
109,SP,124,1
110,SP,123,1
111,SP,122,1
113,SP,120,2
116,SP,117,1
122,SP,111,1
125,SP,108,1
126,SP,107,1
128,SP,105,1
132,SP,101,1
135,SP,98,1
136,SP,97,6
143,SP,90,1
144,SP,89,2
146,SP,87,1
155,SP,78,1
162,SP,71,1
163,SP,70,1
176,SP,57,1
183,SP,50,1
187,SP,46,1
193,SP,40,95
195,SP,38,1
204,SP,29,1
209,SP,24,1
227,SP,6,1
243,RJ,324,1
254,RJ,313,1
255,RJ,312,1
264,RJ,303,1
270,RJ,297,94
279,RJ,288,1
285,RJ,282,1
291,RJ,276,2
301,RJ,266,1
302,RJ,265,2
312,RJ,255,1
322,RJ,245,1
323,RJ,244,1
328,RJ,239,1
329,RJ,238,1
354,RJ,213,1
368,RJ,199,2
388,RJ,179,2
390,RJ,177,1
391,RJ,176,2
395,RJ,172,3
396,RJ,171,7
397,RJ,170,1
399,RJ,168,3
401,RJ,166,1
402,RJ,165,1
