Id,state,km,2_days_nro_smartphones
1,SP,232,4
2,SP,231,7
3,SP,230,2
4,SP,229,95
5,SP,228,4
6,SP,227,14
7,SP,226,3
8,SP,225,2
9,SP,224,3
11,SP,222,6
12,SP,221,2
13,SP,220,2
15,SP,218,1
16,SP,217,4
17,SP,216,6
19,SP,214,1
20,SP,213,1
22,SP,211,1
23,SP,210,1
27,SP,206,1
28,SP,205,1
29,SP,204,2
31,SP,202,1
34,SP,199,1
35,SP,198,1
39,SP,194,1
40,SP,193,2
41,SP,192,1
49,SP,184,1
54,SP,179,5
55,SP,178,1
71,SP,162,1
72,SP,161,1
75,SP,158,2
76,SP,157,1
80,SP,153,1
81,SP,152,3
84,SP,149,1
87,SP,146,1
88,SP,145,1
95,SP,138,1
96,SP,137,1
97,SP,136,1
98,SP,135,1
99,SP,134,2
102,SP,131,1
105,SP,128,1
117,SP,116,1
125,SP,108,1
126,SP,107,1
134,SP,99,1
139,SP,94,1
144,SP,89,1
146,SP,87,1
147,SP,86,1
148,SP,85,1
149,SP,84,1
152,SP,81,1
160,SP,73,1
166,SP,67,1
168,SP,65,1
176,SP,57,1
187,SP,46,1
188,SP,45,1
193,SP,40,93
198,SP,35,1
199,SP,34,1
200,SP,33,1
208,SP,25,1
209,SP,24,1
210,SP,23,1
220,SP,13,1
230,SP,3,1
233,SP,0,1
237,RJ,330,1
239,RJ,328,1
259,RJ,308,1
265,RJ,302,1
266,RJ,301,1
270,RJ,297,94
273,RJ,294,1
276,RJ,291,2
286,RJ,281,1
288,RJ,279,1
291,RJ,276,2
296,RJ,271,1
303,RJ,264,1
306,RJ,261,1
309,RJ,258,1
313,RJ,254,1
318,RJ,249,1
320,RJ,247,1
326,RJ,241,1
330,RJ,237,1
358,RJ,209,1
359,RJ,208,1
372,RJ,195,1
376,RJ,191,2
382,RJ,185,3
385,RJ,182,4
386,RJ,181,1
387,RJ,180,1
391,RJ,176,4
392,RJ,175,25
393,RJ,174,1
394,RJ,173,1
395,RJ,172,1
396,RJ,171,20
398,RJ,169,5
399,RJ,168,5
400,RJ,167,2
401,RJ,166,2
402,RJ,165,2
403,RJ,164,2
