Id,state,km,4_days_esp_00h_06hs,4_days_esp_06_12hs,4_days_esp_12_18,4_days_esp_18_24hs,4_days_total
1,SP,232,0,0,1,0,1
4,SP,229,1,0,0,0,1
5,SP,228,0,0,1,2,3
7,SP,226,0,0,1,0,1
10,SP,223,9,15,11,17,52
22,SP,211,0,0,0,1,1
23,SP,210,0,1,0,1,2
45,SP,188,2,3,0,15,20
54,SP,179,0,0,2,0,2
57,SP,176,0,1,3,10,14
63,SP,170,0,0,1,0,1
71,SP,162,1,0,0,0,1
76,SP,157,3,1,2,2,8
82,SP,151,0,0,1,3,4
125,SP,108,0,0,1,1,2
126,SP,107,1,1,2,1,5
210,SP,23,0,0,0,1,1
222,SP,11,0,0,1,0,1
234,RJ,333,0,1,0,0,1
270,RJ,297,0,0,0,2,2
300,RJ,267,0,0,1,0,1
323,RJ,244,0,1,1,4,6
325,RJ,242,0,0,0,1,1
326,RJ,241,0,0,0,8,8
359,RJ,208,0,0,0,42,42
360,RJ,207,0,0,0,9,9
364,RJ,203,0,0,0,6,6
367,RJ,200,0,0,0,5,5
368,RJ,199,0,0,0,9,9
369,RJ,198,0,0,0,11,11
370,RJ,197,0,0,1,0,1
373,RJ,194,0,0,2,0,2
377,RJ,190,0,0,0,8,8
378,RJ,189,0,0,0,9,9
381,RJ,186,0,0,0,7,7
382,RJ,185,0,0,0,6,6
383,RJ,184,0,0,0,6,6
384,RJ,183,0,1,2,0,3
385,RJ,182,0,0,0,10,10
389,RJ,178,0,1,0,11,12
392,RJ,175,0,0,1,8,9
393,RJ,174,2,7,8,8,25
394,RJ,173,0,0,1,45,46
398,RJ,169,0,0,0,9,9
400,RJ,167,0,1,1,3,5
401,RJ,166,0,0,4,27,31
402,RJ,165,0,0,0,8,8
403,RJ,164,0,1,0,0,1
