Id,state,km,4_days_nro_smartphones
1,SP,232,3
2,SP,231,5
3,SP,230,5
4,SP,229,101
5,SP,228,7
6,SP,227,2
7,SP,226,3
8,SP,225,3
9,SP,224,5
10,SP,223,3
11,SP,222,5
12,SP,221,1
13,SP,220,3
14,SP,219,1
15,SP,218,4
16,SP,217,1
17,SP,216,6
18,SP,215,1
19,SP,214,1
20,SP,213,1
21,SP,212,1
22,SP,211,4
23,SP,210,1
24,SP,209,1
25,SP,208,1
26,SP,207,1
44,SP,189,1
45,SP,188,1
54,SP,179,3
55,SP,178,5
56,SP,177,1
58,SP,175,1
64,SP,169,4
66,SP,167,6
69,SP,164,11
71,SP,162,1
73,SP,160,1
74,SP,159,2
78,SP,155,4
80,SP,153,1
83,SP,150,3
84,SP,149,2
85,SP,148,1
86,SP,147,1
87,SP,146,2
94,SP,139,1
96,SP,137,1
99,SP,134,2
101,SP,132,1
102,SP,131,1
107,SP,126,1
119,SP,114,1
121,SP,112,1
126,SP,107,1
128,SP,105,1
132,SP,101,1
133,SP,100,1
135,SP,98,1
137,SP,96,1
139,SP,94,1
143,SP,90,1
144,SP,89,3
148,SP,85,1
154,SP,79,1
160,SP,73,1
168,SP,65,1
173,SP,60,1
176,SP,57,1
187,SP,46,2
193,SP,40,93
194,SP,39,1
211,SP,22,1
217,SP,16,1
225,SP,8,1
226,SP,7,1
229,SP,4,3
231,SP,2,1
235,RJ,332,1
261,RJ,306,1
262,RJ,305,2
265,RJ,302,2
268,RJ,299,1
269,RJ,298,1
270,RJ,297,94
275,RJ,292,1
277,RJ,290,1
286,RJ,281,1
294,RJ,273,1
306,RJ,261,1
316,RJ,251,1
324,RJ,243,1
325,RJ,242,1
327,RJ,240,1
328,RJ,239,2
329,RJ,238,1
367,RJ,200,2
376,RJ,191,2
386,RJ,181,1
387,RJ,180,1
391,RJ,176,3
395,RJ,172,2
396,RJ,171,4
397,RJ,170,1
399,RJ,168,2
401,RJ,166,2
402,RJ,165,1
