Id,state,km,5_days_esp_00h_06hs,5_days_esp_06_12hs,5_days_esp_12_18,5_days_esp_18_24hs,5_days_total
1,SP,232,0,0,1,0,1
3,SP,230,0,1,0,0,1
4,SP,229,1,0,0,1,2
5,SP,228,0,1,1,2,4
6,SP,227,0,1,0,1,2
7,SP,226,0,0,1,1,2
8,SP,225,0,0,1,0,1
9,SP,224,0,0,0,1,1
10,SP,223,8,16,12,17,53
12,SP,221,0,1,0,0,1
18,SP,215,0,0,0,1,1
23,SP,210,0,1,0,2,3
44,SP,189,0,0,1,1,2
45,SP,188,0,1,3,2,6
56,SP,177,1,1,0,0,2
57,SP,176,2,3,5,4,14
65,SP,168,3,0,1,0,4
76,SP,157,1,3,4,4,12
82,SP,151,1,1,5,2,9
126,SP,107,1,0,4,1,6
133,SP,100,0,0,1,0,1
185,SP,48,1,1,0,0,2
222,SP,11,0,2,1,0,3
234,RJ,333,0,1,0,0,1
300,RJ,267,0,0,0,1,1
322,RJ,245,1,0,0,1,2
323,RJ,244,0,0,2,1,3
369,RJ,198,0,1,0,1,2
373,RJ,194,0,1,0,0,1
384,RJ,183,1,1,11,3,16
389,RJ,178,0,1,0,0,1
393,RJ,174,1,4,7,7,19
394,RJ,173,0,1,1,0,2
396,RJ,171,0,0,1,0,1
400,RJ,167,0,0,0,1,1
401,RJ,166,0,0,0,1,1
402,RJ,165,0,0,0,1,1
