Id,state,km,7_days_nro_smartphones
2,SP,231,6
3,SP,230,3
4,SP,229,94
5,SP,228,1
6,SP,227,2
7,SP,226,2
8,SP,225,2
9,SP,224,4
10,SP,223,4
11,SP,222,1
12,SP,221,3
13,SP,220,1
15,SP,218,4
17,SP,216,2
18,SP,215,2
19,SP,214,3
21,SP,212,1
25,SP,208,1
29,SP,204,1
31,SP,202,1
33,SP,200,2
36,SP,197,2
44,SP,189,2
45,SP,188,1
50,SP,183,1
56,SP,177,1
57,SP,176,1
59,SP,174,2
63,SP,170,3
65,SP,168,1
67,SP,166,1
69,SP,164,1
74,SP,159,3
78,SP,155,2
79,SP,154,1
84,SP,149,1
87,SP,146,15
91,SP,142,1
98,SP,135,1
101,SP,132,2
104,SP,129,1
105,SP,128,1
111,SP,122,1
112,SP,121,1
113,SP,120,1
117,SP,116,1
119,SP,114,1
128,SP,105,2
130,SP,103,1
134,SP,99,1
137,SP,96,1
144,SP,89,5
156,SP,77,1
162,SP,71,1
166,SP,67,1
178,SP,55,2
179,SP,54,1
180,SP,53,1
188,SP,45,1
193,SP,40,94
196,SP,37,1
197,SP,36,1
199,SP,34,1
202,SP,31,1
211,SP,22,1
214,SP,19,1
221,SP,12,2
224,SP,9,1
225,SP,8,1
229,SP,4,1
238,RJ,329,1
241,RJ,326,1
243,RJ,324,1
244,RJ,323,1
254,RJ,313,1
255,RJ,312,1
256,RJ,311,1
262,RJ,305,1
265,RJ,302,1
266,RJ,301,1
270,RJ,297,94
274,RJ,293,1
277,RJ,290,1
285,RJ,282,4
290,RJ,277,1
291,RJ,276,6
297,RJ,270,1
303,RJ,264,1
308,RJ,259,1
309,RJ,258,1
311,RJ,256,2
315,RJ,252,1
322,RJ,245,1
325,RJ,242,2
328,RJ,239,1
329,RJ,238,1
330,RJ,237,1
331,RJ,236,1
356,RJ,211,2
358,RJ,209,1
360,RJ,207,1
361,RJ,206,1
364,RJ,203,2
368,RJ,199,1
375,RJ,192,1
376,RJ,191,1
383,RJ,184,1
386,RJ,181,1
387,RJ,180,2
388,RJ,179,5
389,RJ,178,1
392,RJ,175,1
395,RJ,172,1
396,RJ,171,1
398,RJ,169,2
400,RJ,167,2
