Id,state,km,6_days_nro_smartphones
2,SP,231,3
3,SP,230,2
4,SP,229,93
5,SP,228,2
6,SP,227,2
7,SP,226,1
8,SP,225,6
9,SP,224,3
10,SP,223,1
11,SP,222,2
12,SP,221,2
13,SP,220,4
16,SP,217,3
17,SP,216,2
28,SP,205,1
32,SP,201,1
33,SP,200,1
36,SP,197,1
37,SP,196,1
45,SP,188,1
58,SP,175,2
64,SP,169,1
68,SP,165,3
71,SP,162,1
72,SP,161,2
76,SP,157,2
77,SP,156,1
78,SP,155,4
87,SP,146,1
88,SP,145,1
95,SP,138,2
96,SP,137,1
97,SP,136,1
104,SP,129,1
108,SP,125,1
111,SP,122,2
115,SP,118,1
119,SP,114,2
123,SP,110,1
128,SP,105,5
130,SP,103,1
142,SP,91,1
144,SP,89,1
146,SP,87,1
154,SP,79,2
158,SP,75,1
160,SP,73,2
173,SP,60,1
184,SP,49,1
190,SP,43,1
193,SP,40,93
199,SP,34,1
205,SP,28,1
208,SP,25,1
211,SP,22,1
220,SP,13,1
227,SP,6,1
233,SP,0,1
241,RJ,326,1
243,RJ,324,1
245,RJ,322,1
248,RJ,319,1
249,RJ,318,1
250,RJ,317,1
257,RJ,310,1
260,RJ,307,1
265,RJ,302,1
270,RJ,297,93
272,RJ,295,1
280,RJ,287,1
286,RJ,281,3
291,RJ,276,6
302,RJ,265,1
318,RJ,249,1
326,RJ,241,1
349,RJ,218,1
353,RJ,214,2
354,RJ,213,2
359,RJ,208,1
386,RJ,181,1
387,RJ,180,2
389,RJ,178,3
394,RJ,173,1
397,RJ,170,3
400,RJ,167,1
401,RJ,166,1
