Id,state,km,esp_00h_06hs,esp_06_12hs,esp_12_18,esp_18_24hs,day_total
1,SP,232,0,0,0,1,1
5,SP,228,4,0,4,1,9
7,SP,226,0,2,2,0,4
9,SP,224,0,0,0,2,2
10,SP,223,7,5,10,13,35
23,SP,210,2,0,0,0,2
26,SP,207,0,0,0,1,1
44,SP,189,0,0,0,1,1
45,SP,188,2,1,3,1,7
56,SP,177,1,0,0,0,1
57,SP,176,1,1,9,3,14
63,SP,170,0,1,0,0,1
74,SP,159,1,0,0,0,1
76,SP,157,2,0,4,1,7
82,SP,151,0,2,2,2,6
126,SP,107,3,1,3,4,11
130,SP,103,0,0,0,1,1
185,SP,48,1,1,2,1,5
222,SP,11,2,0,0,0,2
300,RJ,267,0,0,2,0,2
301,RJ,266,1,0,0,0,1
323,RJ,244,1,2,0,0,3
324,RJ,243,1,0,0,0,1
326,RJ,241,0,1,0,0,1
369,RJ,198,0,2,1,1,4
370,RJ,197,0,1,1,0,2
384,RJ,183,1,2,2,2,7
393,RJ,174,5,1,6,3,15
394,RJ,173,0,1,0,1,2
399,RJ,168,0,0,0,1,1
400,RJ,167,1,0,0,2,3
401,RJ,166,1,0,0,1,2
403,RJ,164,0,0,1,0,1
