Id,state,km,7_days_esp_00h_06hs,7_days_esp_06_12hs,7_days_esp_12_18,7_days_esp_18_24hs,7_days_total
2,SP,231,1,1,0,0,2
4,SP,229,1,0,1,0,2
5,SP,228,0,1,0,1,2
8,SP,225,0,1,0,0,1
9,SP,224,0,0,2,0,2
10,SP,223,4,5,10,7,26
23,SP,210,0,0,0,1,1
44,SP,189,0,1,1,0,2
45,SP,188,2,2,1,2,7
56,SP,177,0,0,0,1,1
74,SP,159,0,0,1,0,1
75,SP,158,0,0,1,1,2
76,SP,157,0,2,0,2,4
82,SP,151,0,0,2,0,2
105,SP,128,0,0,1,0,1
126,SP,107,2,2,3,4,11
127,SP,106,0,0,0,1,1
147,SP,86,0,0,1,0,1
185,SP,48,0,1,0,0,1
222,SP,11,3,1,4,2,10
234,RJ,333,0,0,0,1,1
300,RJ,267,0,0,2,1,3
301,RJ,266,0,0,1,2,3
323,RJ,244,0,0,2,4,6
369,RJ,198,0,1,1,0,2
370,RJ,197,0,0,1,1,2
384,RJ,183,1,1,2,1,5
389,RJ,178,0,0,1,0,1
391,RJ,176,0,0,6,1,7
393,RJ,174,2,1,6,7,16
394,RJ,173,0,0,5,1,6
400,RJ,167,1,0,1,1,3
401,RJ,166,0,0,0,1,1
403,RJ,164,0,0,0,1,1
