Id,state,km,6_days_esp_00h_06hs,6_days_esp_06_12hs,6_days_esp_12_18,6_days_esp_18_24hs,6_days_total
3,SP,230,0,0,0,1,1
5,SP,228,0,0,1,1,2
6,SP,227,1,0,0,0,1
7,SP,226,0,0,1,2,3
10,SP,223,4,6,6,16,32
11,SP,222,0,0,0,1,1
12,SP,221,1,0,0,0,1
44,SP,189,0,0,0,1,1
45,SP,188,0,0,3,3,6
55,SP,178,0,0,1,0,1
56,SP,177,0,0,0,1,1
57,SP,176,2,0,2,7,11
63,SP,170,0,0,1,0,1
75,SP,158,0,0,1,0,1
82,SP,151,0,0,1,1,2
126,SP,107,1,0,4,4,9
185,SP,48,0,0,0,2,2
222,SP,11,1,0,1,3,5
300,RJ,267,0,0,1,1,2
321,RJ,246,0,0,0,1,1
323,RJ,244,1,0,1,3,5
324,RJ,243,0,0,0,2,2
370,RJ,197,0,0,0,1,1
371,RJ,196,0,0,0,1,1
373,RJ,194,0,0,4,3,7
384,RJ,183,1,0,2,5,8
393,RJ,174,2,1,4,8,15
394,RJ,173,0,1,1,3,5
400,RJ,167,0,0,1,3,4
401,RJ,166,1,0,0,2,3
402,RJ,165,0,0,1,0,1
