Id,state,km,2_days_esp_00h_06hs,2_days_esp_06_12hs,2_days_esp_12_18,2_days_esp_18_24hs,2_days_total
1,SP,232,0,1,1,0,2
2,SP,231,1,0,0,0,1
3,SP,230,0,1,2,0,3
4,SP,229,1,1,1,0,3
5,SP,228,0,0,1,3,4
6,SP,227,1,0,0,0,1
8,SP,225,0,0,1,1,2
9,SP,224,0,1,1,0,2
10,SP,223,2,11,11,12,36
22,SP,211,0,0,0,1,1
23,SP,210,0,1,0,2,3
44,SP,189,1,0,0,0,1
45,SP,188,1,0,5,2,8
54,SP,179,0,1,1,0,2
56,SP,177,1,0,0,2,3
57,SP,176,0,0,4,4,8
58,SP,175,0,0,0,1,1
63,SP,170,0,0,0,1,1
76,SP,157,0,0,1,2,3
82,SP,151,0,0,1,3,4
125,SP,108,0,1,0,0,1
126,SP,107,0,0,2,4,6
185,SP,48,0,0,0,1,1
222,SP,11,1,0,0,2,3
234,RJ,333,0,0,1,0,1
300,RJ,267,0,0,1,0,1
323,RJ,244,0,3,3,0,6
324,RJ,243,0,0,1,2,3
326,RJ,241,1,0,0,0,1
369,RJ,198,0,2,1,1,4
370,RJ,197,0,0,1,0,1
373,RJ,194,0,0,1,1,2
382,RJ,185,0,2,0,0,2
384,RJ,183,1,1,5,3,10
389,RJ,178,0,0,1,0,1
393,RJ,174,1,12,5,7,25
394,RJ,173,2,0,3,0,5
400,RJ,167,0,4,2,1,7
401,RJ,166,2,2,0,1,5
