Id,state,km,3_days_esp_00h_06hs,3_days_esp_06_12hs,3_days_esp_12_18,3_days_esp_18_24hs,3_days_total
1,SP,232,0,1,0,1,2
5,SP,228,2,1,1,4,8
6,SP,227,0,0,0,1,1
7,SP,226,1,0,2,0,3
9,SP,224,0,0,0,2,2
10,SP,223,7,12,26,11,56
23,SP,210,0,0,0,1,1
45,SP,188,0,1,3,5,9
54,SP,179,0,1,2,0,3
56,SP,177,0,0,0,2,2
57,SP,176,1,1,2,0,4
71,SP,162,0,1,0,0,1
75,SP,158,0,0,0,1,1
76,SP,157,0,1,2,2,5
82,SP,151,2,0,2,1,5
125,SP,108,0,0,0,1,1
126,SP,107,0,1,3,2,6
148,SP,85,0,0,1,0,1
185,SP,48,0,1,0,1,2
222,SP,11,1,1,2,3,7
234,RJ,333,1,0,0,1,2
300,RJ,267,0,0,1,0,1
301,RJ,266,0,0,0,1,1
302,RJ,265,0,1,0,0,1
322,RJ,245,0,1,0,0,1
323,RJ,244,0,1,0,2,3
324,RJ,243,0,1,0,0,1
369,RJ,198,0,2,1,4,7
370,RJ,197,0,0,0,1,1
371,RJ,196,0,0,0,1,1
373,RJ,194,0,1,0,1,2
384,RJ,183,1,3,1,3,8
385,RJ,182,0,1,0,0,1
386,RJ,181,0,0,0,1,1
393,RJ,174,1,1,2,10,14
394,RJ,173,0,1,1,1,3
399,RJ,168,0,2,2,0,4
400,RJ,167,1,0,0,2,3
401,RJ,166,1,1,2,3,7
