Id,state,km,4_days_nro_smartphones
1,SP,232,1
2,SP,231,1
3,SP,230,3
4,SP,229,102
5,SP,228,31
6,SP,227,2
8,SP,225,7
12,SP,221,7
15,SP,218,4
16,SP,217,2
17,SP,216,9
21,SP,212,14
22,SP,211,5
25,SP,208,1
26,SP,207,1
27,SP,206,2
32,SP,201,2
47,SP,186,1
51,SP,182,1
55,SP,178,3
56,SP,177,1
59,SP,174,3
61,SP,172,1
62,SP,171,1
63,SP,170,1
64,SP,169,16
66,SP,167,6
69,SP,164,3
71,SP,162,1
73,SP,160,1
74,SP,159,4
75,SP,158,3
77,SP,156,3
78,SP,155,1
85,SP,148,2
87,SP,146,2
88,SP,145,1
92,SP,141,1
95,SP,138,2
97,SP,136,38
98,SP,135,1
100,SP,133,1
101,SP,132,2
114,SP,119,2
116,SP,117,1
119,SP,114,1
129,SP,104,1
131,SP,102,2
133,SP,100,1
134,SP,99,1
139,SP,94,1
140,SP,93,1
142,SP,91,1
143,SP,90,17
144,SP,89,3
145,SP,88,1
150,SP,83,1
158,SP,75,1
166,SP,67,2
171,SP,62,1
174,SP,59,1
180,SP,53,1
181,SP,52,1
182,SP,51,1
189,SP,44,1
190,SP,43,1
192,SP,41,1
193,SP,40,92
194,SP,39,1
203,SP,30,1
204,SP,29,2
205,SP,28,1
208,SP,25,1
210,SP,23,1
211,SP,22,1
216,SP,17,1
218,SP,15,1
221,SP,12,1
222,SP,11,1
225,SP,8,3
227,SP,6,2
228,SP,5,1
232,SP,1,1
237,RJ,330,1
243,RJ,324,1
245,RJ,322,1
248,RJ,319,1
250,RJ,317,1
251,RJ,316,1
268,RJ,299,2
270,RJ,297,96
272,RJ,295,1
276,RJ,291,1
277,RJ,290,1
283,RJ,284,1
285,RJ,282,1
294,RJ,273,2
301,RJ,266,1
302,RJ,265,1
303,RJ,264,1
304,RJ,263,1
311,RJ,256,1
312,RJ,255,92
314,RJ,253,1
319,RJ,248,2
323,RJ,244,1
341,RJ,226,7
343,RJ,224,5
344,RJ,223,3
345,RJ,222,12
348,RJ,219,1
354,RJ,213,1
357,RJ,210,2
358,RJ,209,1
362,RJ,205,1
364,RJ,203,1
368,RJ,199,2
371,RJ,196,1
386,RJ,181,1
391,RJ,176,3
392,RJ,175,3
394,RJ,173,1
399,RJ,168,4
401,RJ,166,2
