Id,state,km,5_days_esp_00h_06hs,5_days_esp_06_12hs,5_days_esp_12_18,5_days_esp_18_24hs,5_days_total
4,SP,229,0,0,0,6,6
5,SP,228,1,1,2,1,5
7,SP,226,0,0,1,0,1
10,SP,223,9,6,12,16,43
22,SP,211,0,0,0,1,1
44,SP,189,0,1,2,1,4
45,SP,188,0,1,1,8,10
56,SP,177,0,1,0,0,1
57,SP,176,1,0,0,5,6
63,SP,170,0,1,1,1,3
75,SP,158,0,0,1,1,2
76,SP,157,0,1,2,5,8
82,SP,151,0,0,1,1,2
126,SP,107,0,1,7,6,14
185,SP,48,0,1,1,0,2
222,SP,11,0,0,0,4,4
234,RJ,333,0,0,0,2,2
300,RJ,267,0,0,0,4,4
323,RJ,244,0,0,0,2,2
325,RJ,242,0,0,1,0,1
384,RJ,183,1,0,3,2,6
389,RJ,178,0,0,0,1,1
393,RJ,174,4,2,3,11,20
394,RJ,173,0,2,0,0,2
400,RJ,167,0,0,2,1,3
401,RJ,166,0,0,1,1,2
