Id,state,km,1_day_esp_00h_06hs,1_day_esp_06_12hs,1_day_esp_12_18,1_day_esp_18_24hs,1_day_total
4,SP,229,9,0,1,1,11
5,SP,228,0,0,1,3,4
6,SP,227,0,1,0,0,1
7,SP,226,0,0,2,0,2
10,SP,223,8,15,17,7,47
23,SP,210,0,2,0,0,2
24,SP,209,0,1,0,0,1
44,SP,189,0,2,0,0,2
45,SP,188,1,2,5,1,9
57,SP,176,1,2,5,2,10
75,SP,158,0,1,1,0,2
76,SP,157,1,4,2,6,13
81,SP,152,0,0,1,0,1
82,SP,151,1,1,2,4,8
126,SP,107,1,0,0,3,4
177,SP,56,1,0,0,0,1
185,SP,48,0,0,2,1,3
222,SP,11,0,1,3,2,6
234,RJ,333,0,0,0,5,5
235,RJ,332,0,0,1,0,1
250,RJ,317,1,0,0,0,1
257,RJ,310,3,0,0,0,3
262,RJ,305,8,0,0,0,8
270,RJ,297,7,0,0,0,7
283,RJ,284,1,0,0,0,1
287,RJ,280,6,0,0,0,6
301,RJ,266,0,0,1,1,2
318,RJ,249,20,0,0,0,20
320,RJ,247,2,0,1,0,3
322,RJ,245,0,0,1,0,1
323,RJ,244,0,2,3,2,7
324,RJ,243,0,0,0,1,1
325,RJ,242,1,0,0,0,1
369,RJ,198,0,0,5,4,9
370,RJ,197,0,1,0,0,1
371,RJ,196,0,0,1,0,1
373,RJ,194,0,0,1,0,1
382,RJ,185,1,0,0,0,1
383,RJ,184,0,0,1,0,1
384,RJ,183,0,4,13,3,20
389,RJ,178,5,0,0,0,5
392,RJ,175,0,1,1,0,2
393,RJ,174,3,7,8,11,29
394,RJ,173,0,0,1,0,1
400,RJ,167,1,2,2,2,7
401,RJ,166,4,1,3,0,8
402,RJ,165,1,0,0,0,1
