Id,state,km,3_days_esp_00h_06hs,3_days_esp_06_12hs,3_days_esp_12_18,3_days_esp_18_24hs,3_days_total
5,SP,228,0,0,0,1,1
7,SP,226,1,0,0,1,2
9,SP,224,1,0,0,0,1
10,SP,223,5,9,8,10,32
11,SP,222,0,0,1,0,1
23,SP,210,1,0,0,0,1
24,SP,209,0,0,1,0,1
44,SP,189,0,1,1,0,2
45,SP,188,3,2,6,14,25
57,SP,176,2,0,4,18,24
63,SP,170,0,0,0,1,1
74,SP,159,0,0,1,0,1
76,SP,157,1,1,2,0,4
82,SP,151,0,2,4,0,6
126,SP,107,0,3,3,3,9
185,SP,48,0,3,1,1,5
222,SP,11,2,0,0,60,62
223,SP,10,0,0,0,7,7
228,SP,5,0,0,0,10,10
230,SP,3,0,0,0,6,6
233,SP,0,0,0,1,0,1
234,RJ,333,0,0,1,7,8
235,RJ,332,0,0,0,7,7
237,RJ,330,0,0,0,6,6
239,RJ,328,0,0,0,8,8
243,RJ,324,0,0,0,4,4
245,RJ,322,0,0,0,8,8
247,RJ,320,0,0,0,8,8
249,RJ,318,0,0,0,9,9
250,RJ,317,0,0,0,7,7
253,RJ,314,0,0,0,7,7
256,RJ,311,0,0,0,14,14
259,RJ,308,0,0,0,6,6
262,RJ,305,0,0,0,6,6
263,RJ,304,0,0,0,9,9
267,RJ,300,0,0,0,9,9
272,RJ,295,0,0,0,15,15
273,RJ,294,0,0,0,7,7
274,RJ,293,0,0,0,8,8
277,RJ,290,0,0,0,8,8
278,RJ,289,0,0,0,4,4
280,RJ,287,0,0,0,8,8
284,RJ,283,0,0,0,7,7
285,RJ,282,0,0,0,5,5
287,RJ,280,0,0,0,7,7
288,RJ,279,0,0,0,7,7
291,RJ,276,0,0,0,8,8
294,RJ,273,0,0,0,5,5
296,RJ,271,0,0,0,10,10
297,RJ,270,0,0,0,7,7
301,RJ,266,0,0,0,8,8
302,RJ,265,0,0,0,8,8
303,RJ,264,0,0,0,12,12
308,RJ,259,0,0,0,8,8
309,RJ,258,0,0,0,8,8
310,RJ,257,0,0,0,9,9
311,RJ,256,0,0,0,9,9
313,RJ,254,0,0,0,15,15
316,RJ,251,0,0,0,19,19
317,RJ,250,0,0,0,8,8
322,RJ,245,0,0,1,0,1
323,RJ,244,0,1,4,18,23
324,RJ,243,1,2,2,0,5
325,RJ,242,0,0,0,6,6
326,RJ,241,0,0,0,1,1
359,RJ,208,0,0,0,26,26
361,RJ,206,0,0,0,14,14
365,RJ,202,0,0,0,8,8
370,RJ,197,0,1,0,19,20
372,RJ,195,0,1,9,0,10
373,RJ,194,0,35,20,8,63
380,RJ,187,0,0,0,6,6
384,RJ,183,0,3,5,1,9
387,RJ,180,0,0,0,8,8
389,RJ,178,0,0,0,11,11
390,RJ,177,0,0,0,7,7
392,RJ,175,0,0,0,42,42
393,RJ,174,0,2,3,174,179
394,RJ,173,1,0,0,45,46
398,RJ,169,0,1,0,0,1
399,RJ,168,0,0,0,5,5
400,RJ,167,0,0,2,1,3
401,RJ,166,0,0,1,10,11
402,RJ,165,0,0,0,23,23
