Id,state,km,3_days_nro_smartphones
1,SP,232,4
2,SP,231,5
3,SP,230,4
4,SP,229,98
5,SP,228,23
6,SP,227,4
7,SP,226,2
8,SP,225,6
10,SP,223,5
11,SP,222,11
12,SP,221,19
13,SP,220,13
14,SP,219,2
16,SP,217,1
17,SP,216,7
18,SP,215,2
20,SP,213,1
21,SP,212,2
22,SP,211,2
24,SP,209,1
25,SP,208,2
29,SP,204,2
30,SP,203,2
32,SP,201,2
34,SP,199,4
37,SP,196,1
38,SP,195,2
39,SP,194,2
41,SP,192,1
42,SP,191,3
43,SP,190,1
51,SP,182,1
52,SP,181,11
55,SP,178,1
62,SP,171,1
63,SP,170,1
67,SP,166,3
68,SP,165,4
71,SP,162,9
74,SP,159,1
75,SP,158,4
76,SP,157,1
78,SP,155,1
79,SP,154,2
81,SP,152,1
84,SP,149,2
92,SP,141,1
94,SP,139,3
95,SP,138,1
97,SP,136,38
98,SP,135,1
102,SP,131,1
104,SP,129,2
105,SP,128,1
106,SP,127,1
110,SP,123,1
113,SP,120,1
116,SP,117,1
119,SP,114,3
125,SP,108,1
128,SP,105,2
130,SP,103,4
131,SP,102,1
136,SP,97,1
139,SP,94,4
141,SP,92,1
142,SP,91,1
143,SP,90,1
144,SP,89,6
145,SP,88,2
146,SP,87,1
157,SP,76,1
160,SP,73,1
163,SP,70,1
166,SP,67,1
169,SP,64,1
175,SP,58,1
176,SP,57,1
177,SP,56,1
182,SP,51,1
185,SP,48,1
189,SP,44,1
193,SP,40,94
196,SP,37,1
201,SP,32,1
205,SP,28,1
206,SP,27,1
210,SP,23,1
212,SP,21,1
218,SP,15,1
225,SP,8,1
227,SP,6,7
229,SP,4,1
236,RJ,331,1
237,RJ,330,1
243,RJ,324,1
245,RJ,322,1
249,RJ,318,1
257,RJ,310,1
258,RJ,309,1
261,RJ,306,1
268,RJ,299,1
270,RJ,297,79
275,RJ,292,1
283,RJ,284,3
286,RJ,281,1
290,RJ,277,1
291,RJ,276,3
294,RJ,273,1
298,RJ,269,2
299,RJ,268,1
307,RJ,260,1
312,RJ,255,55
313,RJ,254,2
320,RJ,247,2
326,RJ,241,2
329,RJ,238,1
330,RJ,237,3
343,RJ,224,5
349,RJ,218,1
360,RJ,207,2
370,RJ,197,1
382,RJ,185,1
384,RJ,183,1
387,RJ,180,1
388,RJ,179,1
391,RJ,176,3
392,RJ,175,1
393,RJ,174,1
398,RJ,169,18
400,RJ,167,3
403,RJ,164,2
