Id,state,km,7_days_esp_00h_06hs,7_days_esp_06_12hs,7_days_esp_12_18,7_days_esp_18_24hs,7_days_total
4,SP,229,0,6,0,1,7
5,SP,228,2,2,1,4,9
9,SP,224,0,2,0,0,2
10,SP,223,8,9,13,22,52
23,SP,210,0,1,0,1,2
44,SP,189,0,1,0,0,1
45,SP,188,0,1,4,5,10
56,SP,177,0,1,2,0,3
57,SP,176,0,1,4,3,8
63,SP,170,0,1,0,1,2
75,SP,158,0,1,0,0,1
76,SP,157,0,0,4,1,5
82,SP,151,0,0,0,2,2
84,SP,149,1,0,0,0,1
125,SP,108,0,0,0,1,1
126,SP,107,0,0,5,2,7
127,SP,106,1,0,0,0,1
185,SP,48,0,0,0,1,1
222,SP,11,0,0,1,0,1
223,SP,10,0,0,1,0,1
234,RJ,333,0,0,2,0,2
270,RJ,297,0,3,0,0,3
300,RJ,267,0,0,1,0,1
301,RJ,266,0,0,0,2,2
322,RJ,245,0,0,1,0,1
323,RJ,244,0,0,0,1,1
326,RJ,241,0,0,0,1,1
369,RJ,198,1,1,3,2,7
370,RJ,197,0,0,2,0,2
373,RJ,194,0,1,0,1,2
384,RJ,183,1,0,0,9,10
389,RJ,178,0,1,0,1,2
393,RJ,174,0,2,4,2,8
400,RJ,167,0,1,3,0,4
401,RJ,166,0,0,1,1,2
