Id,state,km,2_days_nro_smartphones
1,SP,232,2
2,SP,231,5
3,SP,230,4
4,SP,229,95
5,SP,228,16
6,SP,227,3
7,SP,226,2
8,SP,225,3
10,SP,223,3
11,SP,222,45
12,SP,221,5
13,SP,220,14
14,SP,219,3
15,SP,218,2
16,SP,217,5
17,SP,216,5
18,SP,215,1
19,SP,214,3
20,SP,213,4
22,SP,211,1
23,SP,210,1
26,SP,207,3
29,SP,204,1
32,SP,201,1
41,SP,192,2
44,SP,189,1
45,SP,188,1
46,SP,187,1
52,SP,181,2
53,SP,180,1
55,SP,178,4
57,SP,176,2
59,SP,174,1
64,SP,169,3
67,SP,166,1
68,SP,165,1
69,SP,164,1
71,SP,162,2
74,SP,159,3
76,SP,157,1
82,SP,151,1
84,SP,149,1
86,SP,147,1
87,SP,146,6
89,SP,144,1
91,SP,142,1
94,SP,139,1
95,SP,138,1
97,SP,136,37
99,SP,134,1
101,SP,132,3
106,SP,127,1
114,SP,119,1
115,SP,118,1
116,SP,117,1
129,SP,104,1
131,SP,102,1
132,SP,101,1
133,SP,100,1
136,SP,97,1
141,SP,92,1
143,SP,90,1
144,SP,89,22
151,SP,82,2
165,SP,68,2
169,SP,64,1
171,SP,62,1
187,SP,46,1
193,SP,40,93
195,SP,38,2
198,SP,35,1
206,SP,27,1
207,SP,26,1
210,SP,23,3
213,SP,20,2
214,SP,19,1
218,SP,15,1
225,SP,8,1
226,SP,7,1
227,SP,6,1
234,RJ,333,1
255,RJ,312,1
257,RJ,310,1
258,RJ,309,2
259,RJ,308,1
265,RJ,302,6
270,RJ,297,86
277,RJ,290,1
281,RJ,286,1
290,RJ,277,2
291,RJ,276,1
292,RJ,275,2
298,RJ,269,1
299,RJ,268,1
302,RJ,265,1
305,RJ,262,1
319,RJ,248,1
321,RJ,246,1
326,RJ,241,1
343,RJ,224,6
359,RJ,208,3
365,RJ,202,1
368,RJ,199,1
374,RJ,193,2
392,RJ,175,1
394,RJ,173,1
396,RJ,171,1
397,RJ,170,2
399,RJ,168,1
400,RJ,167,2
