Id,state,km,1_day_nro_smartphones
1,SP,232,5
2,SP,231,8
3,SP,230,3
4,SP,229,95
5,SP,228,14
6,SP,227,5
7,SP,226,5
8,SP,225,9
9,SP,224,6
10,SP,223,1
11,SP,222,61
12,SP,221,6
13,SP,220,21
15,SP,218,4
17,SP,216,8
18,SP,215,2
19,SP,214,2
21,SP,212,2
22,SP,211,1
23,SP,210,1
29,SP,204,1
32,SP,201,2
35,SP,198,2
37,SP,196,3
38,SP,195,2
41,SP,192,2
45,SP,188,1
51,SP,182,3
57,SP,176,5
62,SP,171,1
67,SP,166,2
69,SP,164,4
72,SP,161,1
73,SP,160,1
74,SP,159,8
75,SP,158,1
76,SP,157,3
77,SP,156,1
79,SP,154,2
81,SP,152,2
82,SP,151,2
83,SP,150,3
84,SP,149,7
86,SP,147,3
87,SP,146,2
88,SP,145,1
91,SP,142,1
95,SP,138,3
97,SP,136,6
99,SP,134,4
101,SP,132,1
102,SP,131,1
112,SP,121,1
114,SP,119,1
116,SP,117,1
117,SP,116,1
125,SP,108,1
126,SP,107,1
131,SP,102,1
135,SP,98,1
138,SP,95,2
139,SP,94,1
143,SP,90,1
144,SP,89,6
146,SP,87,1
157,SP,76,1
160,SP,73,3
168,SP,65,1
170,SP,63,1
179,SP,54,1
187,SP,46,1
188,SP,45,1
193,SP,40,93
195,SP,38,1
199,SP,34,1
203,SP,30,1
208,SP,25,1
214,SP,19,1
225,SP,8,1
226,SP,7,1
229,SP,4,1
238,RJ,329,1
241,RJ,326,1
243,RJ,324,1
245,RJ,322,1
253,RJ,314,1
257,RJ,310,1
258,RJ,309,1
262,RJ,305,1
265,RJ,302,2
268,RJ,299,1
270,RJ,297,93
271,RJ,296,1
273,RJ,294,1
285,RJ,282,1
286,RJ,281,1
292,RJ,275,1
294,RJ,273,1
297,RJ,270,1
298,RJ,269,1
299,RJ,268,1
300,RJ,267,2
305,RJ,262,1
309,RJ,258,1
312,RJ,255,1
314,RJ,253,1
322,RJ,245,1
324,RJ,243,2
325,RJ,242,1
326,RJ,241,1
327,RJ,240,1
328,RJ,239,1
329,RJ,238,1
330,RJ,237,5
350,RJ,217,2
359,RJ,208,4
361,RJ,206,4
364,RJ,203,1
365,RJ,202,1
373,RJ,194,1
376,RJ,191,1
377,RJ,190,3
381,RJ,186,3
382,RJ,185,1
384,RJ,183,1
390,RJ,177,1
392,RJ,175,2
393,RJ,174,1
394,RJ,173,2
395,RJ,172,3
398,RJ,169,3
399,RJ,168,8
400,RJ,167,7
402,RJ,165,4
