Id,state,km,6_days_esp_00h_06hs,6_days_esp_06_12hs,6_days_esp_12_18,6_days_esp_18_24hs,6_days_total
1,SP,232,0,0,1,0,1
4,SP,229,0,0,1,0,1
5,SP,228,1,0,2,2,5
10,SP,223,11,10,10,10,41
11,SP,222,0,0,1,0,1
44,SP,189,0,1,0,0,1
45,SP,188,0,0,6,4,10
56,SP,177,0,0,2,0,2
57,SP,176,0,1,0,4,5
63,SP,170,0,1,0,0,1
65,SP,168,0,0,1,0,1
75,SP,158,0,0,1,0,1
76,SP,157,0,1,2,1,4
82,SP,151,2,0,0,1,3
125,SP,108,0,1,0,0,1
126,SP,107,0,2,4,2,8
127,SP,106,0,0,1,0,1
148,SP,85,0,0,0,1,1
185,SP,48,0,1,1,0,2
222,SP,11,0,3,2,1,6
300,RJ,267,0,2,2,1,5
301,RJ,266,0,1,1,0,2
323,RJ,244,0,1,3,1,5
324,RJ,243,0,0,1,0,1
369,RJ,198,0,1,0,0,1
370,RJ,197,0,3,0,0,3
373,RJ,194,1,1,1,0,3
384,RJ,183,0,3,3,2,8
392,RJ,175,0,1,0,0,1
393,RJ,174,2,1,7,8,18
394,RJ,173,0,2,2,1,5
395,RJ,172,0,1,0,0,1
400,RJ,167,0,1,2,0,3
401,RJ,166,0,0,1,1,2
