Id,state,km,4_days_esp_00h_06hs,4_days_esp_06_12hs,4_days_esp_12_18,4_days_esp_18_24hs,4_days_total
4,SP,229,4,0,0,0,4
5,SP,228,1,3,0,5,9
6,SP,227,0,0,1,0,1
9,SP,224,0,0,1,0,1
10,SP,223,7,12,12,7,38
11,SP,222,0,0,1,0,1
22,SP,211,0,0,0,1,1
23,SP,210,0,0,1,1,2
44,SP,189,0,1,0,0,1
45,SP,188,4,3,2,4,13
57,SP,176,0,4,2,1,7
63,SP,170,1,0,0,0,1
64,SP,169,0,0,0,1,1
76,SP,157,1,2,5,3,11
82,SP,151,0,0,2,2,4
126,SP,107,1,1,2,1,5
127,SP,106,1,0,0,0,1
185,SP,48,0,0,1,0,1
222,SP,11,1,1,2,1,5
234,RJ,333,3,1,0,1,5
300,RJ,267,0,3,0,1,4
301,RJ,266,0,0,1,1,2
322,RJ,245,0,1,0,0,1
323,RJ,244,0,1,2,1,4
326,RJ,241,0,0,1,0,1
369,RJ,198,0,1,0,0,1
370,RJ,197,1,0,1,1,3
371,RJ,196,1,0,0,0,1
372,RJ,195,0,0,9,0,9
373,RJ,194,0,0,1,0,1
374,RJ,193,0,0,8,0,8
384,RJ,183,3,5,4,0,12
393,RJ,174,2,3,4,6,15
394,RJ,173,0,0,1,0,1
395,RJ,172,0,0,0,1,1
400,RJ,167,0,2,1,1,4
401,RJ,166,0,1,1,1,3
403,RJ,164,0,0,1,0,1
